Timestamp,Gender?,Age?,Favourite Food Category?,Religion?,What is your monthly allowance and/or salary? (PKR Rs),You are studying (or what you would like to study in the future OR what you studied)...,You are more...,Favourite music genre? ,Favourite movie genre?,What gift would you love to receive the most out of these options? 
8/9/2020 19:31,Female,20,Fast Food,Islam,Less than 15000,Engineering and Technology,Introverted,Other,Mystery,laptop
8/9/2020 19:32,Male,25,Appetizer,Islam,Less than 15000,Medicine and health,Introverted,Rock,Adventure,Smart Phone
8/9/2020 19:33,Female,20,Rice,Islam,Less than 15000,Philosophy/Theology,Extroverted,Other,Drama,Makeup
8/9/2020 19:33,Female,20,Grains,Hinduism,Less than 15000,Engineering and Technology,Introverted,Country music,Thriller,Watch
8/9/2020 19:33,Male,26,Fast Food,Islam,25000 - 50000,Engineering and Technology,Extroverted,Classical music,Science fiction,IT gadget
8/9/2020 19:35,Male,25,Vegetables,Islam,15000 - 25000,Engineering and Technology,Introverted,Country music,Romance,Perfume/Cologne
8/9/2020 19:38,Male,39,Rice,Islam,50000 - 100000,Engineering and Technology,Extroverted,Classical music,Mystery,Video game Set
8/9/2020 19:38,Male,26,Rice,Islam,Less than 15000,Business,Introverted,Classical music,Action,Cars
8/9/2020 19:38,Male,26,Rice,Islam,Less than 15000,Business,Introverted,Classical music,Action,Cars
8/9/2020 19:38,Male,26,Rice,Islam,Less than 15000,Business,Introverted,Classical music,Action,Cars
8/9/2020 19:38,Female,16,Fast Food,Islam,Less than 15000,Medicine and health,Extroverted,Rock,Comedy,Jewellery
8/9/2020 19:41,Male,20,Meat,Islam,Less than 15000,Engineering and Technology,Extroverted,Classical music,Historical,laptop
8/9/2020 19:42,Male,33,Rice,Islam,25000 - 50000,Business,Extroverted,Classical music,Adventure,IT gadget
8/9/2020 19:46,Male,20,Rice,Islam,Less than 15000,Engineering and Technology,Introverted,Classical music,Historical,Watch
8/9/2020 19:52,Male,24,Vegetables,Islam,50000 - 100000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Country music,Historical,Bike
8/9/2020 19:52,Male,23,Rice,Islam,Less than 15000,Engineering and Technology,Introverted,Classical music,Drama,Watch
8/9/2020 19:52,Male,24,Vegetables,Islam,50000 - 100000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Country music,Historical,Bike
8/9/2020 19:53,Male,22,Rice,Islam,Less than 15000,Engineering and Technology,Introverted,Classical music,Comedy,Watch
8/9/2020 19:53,Male,25,Appetizer,Islam,25000 - 50000,Engineering and Technology,Introverted,Pop music,Adventure,Return Tickets (Tours)
8/9/2020 19:54,Male,21,Fast Food,Islam,Less than 15000,Engineering and Technology,Introverted,Country music,Comedy,laptop
8/9/2020 19:55,Female,55,Appetizer,Islam,25000 - 50000,"Natural Sciences (Biology, Chemistry, Physics etc.)",Extroverted,Classical music,Adventure,DSLR Lens
8/9/2020 19:56,Male,47,Meat,Christianity,50000 - 100000,Law,Extroverted,Hip hop music,Mystery,IT gadget
8/9/2020 19:57,Male,29,Meat,Islam,25000 - 50000,Engineering and Technology,Introverted,Country music,Romance,Cars
8/9/2020 19:57,Male,23,Rice,Islam,Less than 15000,Engineering and Technology,Extroverted,Other,Crime,Cars
8/9/2020 19:57,Male,65,Vegetables,Christianity,25000 - 50000,Philosophy/Theology,Extroverted,Country music,Horror,Bluetooth Hat Hands-free
8/9/2020 19:59,Female,19,Rice,Islam,25000 - 50000,Engineering and Technology,Introverted,Classical music,Comedy,Return Tickets (Tours)
8/9/2020 20:00,Female,23,Fruits,Islam,Less than 15000,Engineering and Technology,Introverted,Classical music,Fantasy,laptop
8/9/2020 20:00,Male,49,Meat,Islam,50000 - 100000,Languages and literature,Introverted,Other,Comedy,Car
8/9/2020 20:01,Female,21,Rice,Islam,Less than 15000,Engineering and Technology,Extroverted,Other,Mystery,Guitar
8/9/2020 20:08,Male,20,Fast Food,Christianity,Less than 15000,Engineering and Technology,Introverted,Hip hop music,Science fiction,IT gadget
8/9/2020 20:09,Male,26,Rice,Islam,25000 - 50000,Engineering and Technology,Extroverted,Hip hop music,Comedy,IT gadget
8/9/2020 20:09,Male,27,Vegetables,Islam,50000 - 100000,Engineering and Technology,Introverted,Other,Adventure,Sunglass Travel Case
8/9/2020 20:09,Male,18,Meat,Christianity,Less than 15000,Engineering and Technology,Introverted,Hip hop music,Comedy,Watch
8/9/2020 20:13,Female,22,Fruits,Islam,15000 - 25000,Engineering and Technology,Introverted,Country music,Comedy,Cars
8/9/2020 20:16,Female,25,Fast Food,Islam,50000 - 100000,Business,Introverted,Rock,Comedy,Guitar
8/9/2020 20:16,Female,22,Fruits,Islam,50000 - 100000,Engineering and Technology,Introverted,Country music,Action,Cars
8/9/2020 20:21,Female,21,Fast Food,Islam,Less than 15000,Medicine and health,Extroverted,Rock,Action,Free Shopping Voucher
8/9/2020 20:22,Female,24,Meat,Islam,15000 - 25000,"Social Sciences (Economics, History, Geography, Psychology, Sociology etc.)",Introverted,Hip hop music,Historical,Jewellery
8/9/2020 20:29,Male,25,Meat,Islam,50000 - 100000,Business,Extroverted,Other,Action,Wooden Cufflinks
