Gender,Age,Food,allowance/salary,studied,intr-extrovert,music genre,movie genre,Gift
0,40,4,3,4,0,4,5,1
0,45,6,2,2,1,3,9,11
1,50,3,1,9,0,1,8,1
1,44,4,2,7,1,2,7,3
0,24,0,1,1,1,0,1,4
0,17,0,0,6,1,0,2,5
1,35,1,1,9,1,2,6,4
0,32,0,3,10,1,4,11,4
1,20,6,1,4,1,5,3,1
1,27,1,0,2,1,5,10,12
0,28,0,2,8,1,4,6,4
0,19,0,0,5,0,4,8,4
0,23,5,0,9,0,2,3,6
1,18,3,0,8,0,4,4,5
1,39,2,3,4,0,0,7,13
0,26,4,0,8,1,4,6,4
1,25,0,1,7,0,5,8,7
1,41,1,3,5,1,5,6,4
1,18,5,1,7,0,4,3,1
0,25,4,1,1,1,2,2,7
0,28,2,1,10,0,5,4,1
1,17,4,0,3,0,2,5,3
0,28,2,2,8,1,3,0,1
0,28,2,2,8,1,3,0,1
0,14,1,0,2,1,2,1,1
0,17,6,0,0,1,1,10,0
0,20,0,1,7,1,4,3,5
1,18,0,0,10,0,1,11,3
1,27,4,1,4,0,4,6,3
0,15,0,0,0,1,2,9,6
1,20,0,0,6,0,3,4,4
0,29,0,2,10,1,4,10,7
1,29,4,2,3,0,5,4,1
0,34,6,2,4,0,4,2,14
0,25,0,1,10,0,5,11,6
0,45,6,3,2,1,2,6,6
0,19,2,0,3,1,4,2,1
1,56,1,2,1,0,5,2,1
1,22,0,1,4,1,5,7,7
1,28,0,1,8,1,5,11,8
1,32,3,0,2,0,4,5,8
0,28,3,3,4,1,2,8,6
0,21,0,0,0,0,5,3,4
1,19,1,0,10,0,3,5,0
1,19,0,0,6,1,4,5,1
1,29,3,1,9,0,2,9,5
0,35,0,2,2,0,4,10,6
0,20,0,1,8,1,3,8,6
1,24,0,1,5,0,1,7,0
1,16,5,0,7,1,2,1,1
0,22,4,1,4,0,0,1,3
1,23,4,0,9,0,1,5,5
1,33,1,2,0,0,1,9,7
1,16,0,0,3,0,3,3,1
1,27,4,1,0,0,2,5,3
0,30,4,3,4,1,5,8,6
0,23,2,1,4,0,1,10,0
1,18,0,1,5,1,4,8,0
1,30,3,1,6,1,4,2,1
1,25,6,1,7,1,3,4,3
1,22,3,1,3,1,4,5,4
0,31,1,3,10,1,5,8,4
1,21,0,1,9,0,4,7,4
0,23,3,1,5,0,5,8,6
1,25,1,1,1,1,3,4,1
0,29,4,1,1,1,5,9,5
1,16,0,0,9,1,0,2,14
1,23,1,0,1,0,2,10,3
1,35,4,2,2,1,4,6,7
1,25,1,2,4,0,2,8,3
0,18,0,1,10,1,4,8,1
1,28,0,2,0,0,0,1,1
0,20,0,0,1,1,2,7,6
1,22,4,1,2,0,5,4,7
0,55,5,2,4,1,3,4,4
1,42,4,2,4,1,3,7,12
1,22,5,1,6,1,4,3,7
0,57,4,3,3,1,4,9,6
0,73,5,3,7,1,3,5,4
0,77,2,2,10,1,4,6,6
0,55,6,2,3,1,2,2,14
0,87,6,3,4,1,4,9,1
1,42,1,2,6,1,3,9,4
0,89,6,2,5,1,3,9,1
0,71,2,2,3,1,3,9,1
0,15,2,0,5,0,3,1,4
1,18,3,0,9,0,5,2,3
0,26,0,2,1,1,4,6,1
1,25,0,2,4,1,4,5,1
1,18,0,1,5,1,5,8,5
1,26,3,1,3,1,4,8,7
0,29,0,2,10,1,4,9,6
0,27,4,3,8,0,4,1,4
1,22,3,2,3,1,5,11,0
0,20,0,0,5,1,0,4,4
0,32,2,3,1,1,4,6,6
0,55,5,3,5,1,3,9,5
0,25,1,2,3,1,3,4,1
1,22,1,2,9,1,1,6,1
0,52,2,2,5,1,3,2,6
0,21,0,1,3,1,3,2,1
0,12,2,0,9,1,0,1,9
1,14,1,0,6,1,3,3,7
0,20,0,2,3,1,4,7,4
0,44,2,3,4,1,4,6,3
0,47,0,2,3,1,3,6,4
0,28,0,3,1,1,3,2,4
0,77,6,3,0,1,3,7,6
0,81,3,3,4,1,3,9,4
0,43,4,2,3,1,3,7,3
0,47,6,2,5,1,3,3,1
0,44,2,3,6,1,3,10,4
1,23,2,3,6,0,4,4,0
0,52,6,3,4,1,3,9,1
0,54,5,2,6,1,5,6,7
0,69,1,2,3,1,5,11,6
1,25,5,2,9,1,2,7,5
1,49,0,3,8,0,2,7,4
0,22,0,2,1,0,1,4,4
1,23,1,0,2,1,3,3,7
1,47,3,1,5,1,3,4,1
0,60,5,2,7,1,5,2,11
1,52,6,2,3,1,4,3,4
1,63,3,1,10,1,2,0,11
0,52,2,1,3,1,4,2,8
0,33,2,3,5,1,3,1,5
1,41,6,2,6,1,3,6,0
0,39,3,0,4,1,4,11,5
0,14,1,1,5,1,3,8,4
1,12,1,0,0,1,3,7,3
0,74,4,2,4,1,3,7,8
